S.no,Items,Description,Price(in AED),Image url
141,Vegetarian Mafu Tofu,Simmered silken tofu flavored and fermented bean paste.,29.4,
142,Blue Berries Juice With Pulp Bites,,12.6,
143,Chinese Redbull,,14.7,
144,Chupa Chups Grapes,,14.7,
145,Chupa Chups Orange,,14.7,https://images.deliveryhero.io/image/talabat/Menuitems/58B5B2E9DFA6EFFFD8A48C3D9AFD9536?width=172&amp;height=172
146,Chupa Chups Strawberry,,14.7,https://images.deliveryhero.io/image/talabat/Menuitems/8B56FEB04987053E43005A03DC37839D?width=172&amp;height=172
147,Coca Cola,,6.3,
148,Coca Cola Light,,6.3,
149,Coca Cola Zero,,6.3,
150,Fanta,,6.3,
151,Fresh Juices,,15.75,https://images.deliveryhero.io/image/talabat/Menuitems/8A8406198B26E7930E38AF7F845E230E?width=172&amp;height=172
152,Kiwi Juice With Pulp Bites,,12.6,
153,Ksf Green Tea,,8.4,
154,Ksf Honey Peach Drink,,8.4,
155,Ksf Ice Blace Tea,,8.4,
156,Ksf Ice Blace Tea ( Sugar Free),,8.4,
157,Lychee Juice With Pulp Bites,,12.6,
158,Mango Juice With Pulp Bites,,12.6,
159,Mineral Water Big,,6.3,https://images.deliveryhero.io/image/talabat/Menuitems/5C0BCC738E17DE5D064FA01E1EB612D5?width=172&amp;height=172
160,Mineral Water Small,,3.15,https://images.deliveryhero.io/image/talabat/Menuitems/BA7C02FDB480E207220D07900D55BD72?width=172&amp;height=172
161,NONGFU JASMINE TEA,,12.6,
162,Nogfu Oolong tea,,12.6,
163,Nongfu Black Tea,,12.6,
164,Nongfu Green Tea,,12.6,
165,Pomelo Juice With Pulp Bites,,12.6,
166,Red Dates Juice With Pulp Bites,,12.6,
167,Sprite,,6.3,
168,Wong Lo Kat Kerbal Drink,,7,
169,Yan Qi Forest Milt Tea,,14.7,
170,Yeshu Coconut juice,,7.35,https://images.deliveryhero.io/image/talabat/Menuitems/BDFF3FFCD35C36739FF3FD8B33769C0D?width=172&amp;height=172
171,Yosl Oolong Tea,,12.6,
172,Crispy Noodles,,5.25,
173,Half Rice,,16.8,
174,Sauces Small,,2.1,
175,Sauses Big,,10.5,
176,Sauses Mediumm,,5.25,
,,,,
0,French Fries,Normal fries,8,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685176609967769?width=172&amp;height=172
1,Wedges Potato,,9,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637663577978256724?width=172&amp;height=172
2,Ketchup And Mustard Fries,"Fries, cheese, secret sauce, bacon, hot dog and pickles",25,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685161459469860?width=172&amp;height=172
3,Crazy Fries,"Fries, cheese, secret sauce, bacon, hot dog, pickles, chili beef and chicken strips",28,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637854814415845622?width=172&amp;height=172
4,Chicken Crispy Fries,"Fries, hot dog sauce and chicken strips",26,
5, Cheetos Fries," Fries, liquid cheese, secret sauce and cheetos",17,
6,Mushroom Fries,"Fries, liquid cheese, hot dog sauce and mushroom",17,
7,Jalapeno Fries,"Fries, liquid cheese, spicy sauce, secret sauce and jalapeno",17,
8,Bbq Fries,"Fries, liquid cheese, secret sauce and bbq sauce",21,
9,Grilled Chicken Salad,,17,https://images.deliveryhero.io/image/talabat/Menuitems/Grilld_chicken_salad_637480562228913743.jpg?width=172&amp;height=172
10,Fresh Green Salad,,12,
11, Chicken Crispy Salad,,16,
12,Ketchup And Mustard Burger,"Lettuce, onion, tomato, bacon, double cheese, secret sauce, ketchup.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685178223627107?width=172&amp;height=172
13,Traditional Burger,"Lettuce, onion, tomato, pickle, cheese, mustard, secret sauce, ketchup.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685178504911833?width=172&amp;height=172
14,Mushroom Burger,"Grilled mushroom & onion, cheese, secret sauce.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685166003479288?width=172&amp;height=172
15,BBQ Burger,"Onion rings, cheese. Bbq sauce, secret sauce.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685166484591550?width=172&amp;height=172
16,Jalapeno Burger,"Jalapeno, cheese, lettuce, spicy sauce.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685166928004258?width=172&amp;height=172
17,Wrap Burger,"Lettuce, onion, tomato, pickle, cheese,  secret sauce, ketchup. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/Wrap_Burger_Ajeesh-70_637480562252331679.jpg?width=172&amp;height=172
18,Cheetos Burger,"Cheetos, cheese and secret sauce",28,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637683621678706572?width=172&amp;height=172
19,Chicken Breast Burger,"Lettuce, onion, tomato, pickle, cheese,  secret sauce and ketchup.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685168588316831?width=172&amp;height=172
20,Chicken Crispy Burger,"Chicken crispy, lettuce, tomato, cheese and secret sauce",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685168999111301?width=172&amp;height=172
21,Buffalo Chicken Crispy Burger Single,Single.,28,
22,Buffalo Chicken Crispy Burger,Double.,34,
23,Chicken Traditional Burger,"Lettuce, onion, tomato, pickle, cheese, mustard, secret sauce, ketchup.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685164518975176?width=172&amp;height=172
24,Chicken Mushroom Burger,"Grilled mushroom and onion, cheese and secret sauce.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685169504291636?width=172&amp;height=172
25,Chicken BBQ Burger,"Onion rings, cheese. Bbq sauce, secret sauce.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685169880386994?width=172&amp;height=172
26,Chicken Jalapeno Burger,"Jalapeno, cheese, lettuce, spicy sauce.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685165006027026?width=172&amp;height=172
27,Chili Beef Burger,"Chili beef, liquid cheese, lettuce and secret sauce",0,
28,Ketchup and Mustard Burger Meal,"Lettuce, onion, tomato, bacon, double cheese, secret sauce, ketchup, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685170846525053?width=172&amp;height=172
29,Traditional Burger Meal,"Lettuce, onion, tomato, pickle, cheese, mustard, secret sauce, ketchup, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685171844273545?width=172&amp;height=172
30,Mushroom Burger Meal,"Grilled mushroom, onion, cheese, secret sauce, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685172218056874?width=172&amp;height=172
31,BBQ Burger Meal,"Onion rings, cheese. Bbq sauce, secret sauce, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685172580466565?width=172&amp;height=172
32,Jalapeno Burger Meal,"Jalapeno, cheese, lettuce, spicy sauce, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637685172864677790?width=172&amp;height=172
33,Wrap Meal,"Lettuce, onion, tomato, pickle, cheese,  secret sauce, ketchup, served with fries and drink.",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776111916095739?width=172&amp;height=172
