Sno,Items,Description,Price(in AED),Image url
0,Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",49,https://images.deliveryhero.io/image/talabat/Menuitems/CC6481BAD3E6ABE7D58A6EAE9E640209?width=172&amp;height=172
1,Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",109,https://images.deliveryhero.io/image/talabat/Menuitems/9A1C3DABCBF45982973C027566B7B190?width=172&amp;height=172
2,Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",199,https://images.deliveryhero.io/image/talabat/Menuitems/C463E70A095207970DD5E366569D1B40?width=172&amp;height=172
3,Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,64,https://images.deliveryhero.io/image/talabat/Menuitems/F0654DC3B495D9A613D780AEF9AC48F0?width=172&amp;height=172
4,Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",99,https://images.deliveryhero.io/image/talabat/Menuitems/C8CC30C0F8060FFD81AA1998990C41F0?width=172&amp;height=172
5,Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",32,https://images.deliveryhero.io/image/talabat/Menuitems/3C36F848D5A988C2579FB2F99E4F7D32?width=172&amp;height=172
6,Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",24,https://images.deliveryhero.io/image/talabat/Menuitems/908DA5F5D675E31F0E8E9C79A8AC2EFA?width=172&amp;height=172
7,Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",24,https://images.deliveryhero.io/image/talabat/Menuitems/8C154381797BF65ED72EDEDC0C426367?width=172&amp;height=172
8,Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",29,https://images.deliveryhero.io/image/talabat/Menuitems/56097A6D37B91BE245F9C6EB2D457157?width=172&amp;height=172
9,Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,23,https://images.deliveryhero.io/image/talabat/Menuitems/92DABDD5173E59E191AF7CECA17C4BF4?width=172&amp;height=172
10,Gino's Chicken Wings (6),"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip (6 wings)",32,https://images.deliveryhero.io/image/talabat/Menuitems/43B2FDC1F453570D84665736D12B94A2?width=172&amp;height=172
11,Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",29,https://images.deliveryhero.io/image/talabat/Menuitems/050AC3A2138F4FAC58E26029134708DE?width=172&amp;height=172
12,Quinoa Greco Salad,"White quinoa, authentic Greek feta, Kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",43,https://images.deliveryhero.io/image/talabat/Menuitems/C156DC3970B471C385A8D89CFFFD9717?width=172&amp;height=172
13,Italian Chicken Pasta Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",43,https://images.deliveryhero.io/image/talabat/Menuitems/FC140F329CA167429DFAFD5516B0AE88?width=172&amp;height=172
14,Ginos Chicken Caesar Salad,"Fresh Romaine lettuce with a creamy Caesar dressing, crispy garlic croutons, powdered parmesan cheese and grilled chicken breast",43,https://images.deliveryhero.io/image/talabat/Menuitems/CE68AC3F81885727D6D7449875A309D1?width=172&amp;height=172
15,Tomato & Mozzarella (Sandwich),"Freshly baked panuozzo with sliced tomato, fresh thick cut buffalo mozzarella, homemade pesto, fresh basil",44,https://images.deliveryhero.io/image/talabat/Menuitems/F763E7530B47C58F1179ED822E9B1A9E?width=172&amp;height=172
16,Salami Melt (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, fior di latte mozzarella, fresh rocket, Italian salami, oregano",42,https://images.deliveryhero.io/image/talabat/Menuitems/F5161359F64EDB26967FE9A2091CB422?width=172&amp;height=172
17,Fire Chicken BBQ (Sandwich),"Freshly baked panuozzo with crispy fried chicken, homemade caramelized onion, smoky bbq sauce, jalapenos and fior di latte mozzarella",42,https://images.deliveryhero.io/image/talabat/Menuitems/88580B351011BAB812C2B4473617D7B3?width=172&amp;height=172
18,Chicken Pesto Mozzarella (Sandwich),"Freshly baked panuozzo with creamy pesto sauce, oven roast shredded chicken, fior di latte mozzarella, and sundried tomatoes",44,https://images.deliveryhero.io/image/talabat/Menuitems/A05EC61796D02C5AAFA25763A5A438FC?width=172&amp;height=172
